hostname,os,enviroment,country,node
STESP013,Solaris,Testing,Spain,13
SSDEU023,Solaris,Staging,Germany,23
SSIRL029,Solaris,Staging,Ireland,29
SPESP025,Solaris,Production,Spain,25
HSIRL012,HP-UX,Staging,Ireland,12
LSNOR009,Linux,Staging,Norway,9
SPITA016,Solaris,Production,Italy,16
LTIRL051,Linux,Testing,Ireland,51
LTFRA016,Linux,Testing,France,16
LDIRL017,Linux,Development,Ireland,17
HPDEU013,HP-UX,Production,Germany,13
LSIRL029,Linux,Staging,Ireland,29
SDITA007,Solaris,Development,Italy,7
HTESP007,HP-UX,Testing,Spain,7
LTIRL052,Linux,Testing,Ireland,52
LDDEU009,Linux,Development,Germany,9
SSDEU024,Solaris,Staging,Germany,24
HPIRL009,HP-UX,Production,Ireland,9
APDEU026,AIX,Production,Germany,26
ATESP011,AIX,Testing,Spain,11
SPITA017,Solaris,Production,Italy,17
LSDEU032,Linux,Staging,Germany,32
LSIRL030,Linux,Staging,Ireland,30
ATITA012,AIX,Testing,Italy,12
LTESP017,Linux,Testing,Spain,17
STNOR011,Solaris,Testing,Norway,11
ASESP012,AIX,Staging,Spain,12
SPIRL042,Solaris,Production,Ireland,42
LIIRL017,Linux,Integration,Ireland,17
SPNOR009,Solaris,Production,Norway,9
SPIRL043,Solaris,Production,Ireland,43
STFRA011,Solaris,Testing,France,11
LDNOR007,Linux,Development,Norway,7
LDESP012,Linux,Development,Spain,12
LTIRL053,Linux,Testing,Ireland,53
SPIRL044,Solaris,Production,Ireland,44
HSIRL013,HP-UX,Staging,Ireland,13
HPDEU014,HP-UX,Production,Germany,14
LTESP018,Linux,Testing,Spain,18
LSFRA011,Linux,Staging,France,11
LTESP019,Linux,Testing,Spain,19
ATITA013,AIX,Testing,Italy,13
STIRL029,Solaris,Testing,Ireland,29
LPIRL051,Linux,Production,Ireland,51
SSNOR009,Solaris,Staging,Norway,9
LSIRL031,Linux,Staging,Ireland,31
SPESP026,Solaris,Production,Spain,26
LDDEU010,Linux,Development,Germany,10
SDITA008,Solaris,Development,Italy,8
HPDEU015,HP-UX,Production,Germany,15
APESP012,AIX,Production,Spain,12
LSESP023,Linux,Staging,Spain,23
APIRL022,AIX,Production,Ireland,22
SPDEU031,Solaris,Production,Germany,31
LTDEU038,Linux,Testing,Germany,38
APIRL023,AIX,Production,Ireland,23
LSFRA012,Linux,Staging,France,12
ASITA011,AIX,Staging,Italy,11
SPDEU032,Solaris,Production,Germany,32
ASIRL021,AIX,Staging,Ireland,21
ATESP012,AIX,Testing,Spain,12
LPIRL052,Linux,Production,Ireland,52
LTFRA017,Linux,Testing,France,17
SDITA009,Solaris,Development,Italy,9
LDIRL018,Linux,Development,Ireland,18
LSESP024,Linux,Staging,Spain,24
SPIRL045,Solaris,Production,Ireland,45
STFRA012,Solaris,Testing,France,12
ADESP003,AIX,Development,Spain,3
HPIRL010,HP-UX,Production,Ireland,10
LIIRL018,Linux,Integration,Ireland,18
STESP014,Solaris,Testing,Spain,14
HTITA003,HP-UX,Testing,Italy,3
HPESP007,HP-UX,Production,Spain,7
HSITA005,HP-UX,Staging,Italy,5
LDNOR008,Linux,Development,Norway,8
SIITA005,Solaris,Integration,Italy,5
ATITA014,AIX,Testing,Italy,14
LSITA018,Linux,Staging,Italy,18
LSIRL032,Linux,Staging,Ireland,32
APIRL024,AIX,Production,Ireland,24
LPIRL053,Linux,Production,Ireland,53
STESP015,Solaris,Testing,Spain,15
LPITA022,Linux,Production,Italy,22
SPNOR010,Solaris,Production,Norway,10
SDIRL016,Solaris,Development,Ireland,16
LIIRL019,Linux,Integration,Ireland,19
SPITA018,Solaris,Production,Italy,18
SPESP027,Solaris,Production,Spain,27
SDESP007,Solaris,Development,Spain,7
HTFRA005,HP-UX,Testing,France,5
SIFRA005,Solaris,Integration,France,5
SIITA006,Solaris,Integration,Italy,6
SSIRL030,Solaris,Staging,Ireland,30
HPIRL011,HP-UX,Production,Ireland,11
LIIRL020,Linux,Integration,Ireland,20
LTFRA018,Linux,Testing,France,18
LSIRL033,Linux,Staging,Ireland,33
ASIRL022,AIX,Staging,Ireland,22
LPNOR010,Linux,Production,Norway,10
SPNOR011,Solaris,Production,Norway,11
ATIRL018,AIX,Testing,Ireland,18
APIRL025,AIX,Production,Ireland,25
SPDEU033,Solaris,Production,Germany,33
APESP013,AIX,Production,Spain,13
SIIRL010,Solaris,Integration,Ireland,10
HPESP008,HP-UX,Production,Spain,8
LDIRL019,Linux,Development,Ireland,19
LTDEU039,Linux,Testing,Germany,39
LTDEU040,Linux,Testing,Germany,40
SSITA020,Solaris,Staging,Italy,20
HPIRL012,HP-UX,Production,Ireland,12
LPDEU033,Linux,Production,Germany,33
SPIRL046,Solaris,Production,Ireland,46
ASESP013,AIX,Staging,Spain,13
ADESP004,AIX,Development,Spain,4
ASITA012,AIX,Staging,Italy,12
LPNOR011,Linux,Production,Norway,11
HPNOR004,HP-UX,Production,Norway,4
AIDEU005,AIX,Integration,Germany,5
SINOR003,Solaris,Integration,Norway,3
LPESP033,Linux,Production,Spain,33
LSIRL034,Linux,Staging,Ireland,34
STIRL030,Solaris,Testing,Ireland,30
APESP014,AIX,Production,Spain,14
HTNOR002,HP-UX,Testing,Norway,2
SPITA019,Solaris,Production,Italy,19
STIRL031,Solaris,Testing,Ireland,31
LTESP020,Linux,Testing,Spain,20
SPFRA013,Solaris,Production,France,13
SSDEU025,Solaris,Staging,Germany,25
LPITA023,Linux,Production,Italy,23
SDFRA007,Solaris,Development,France,7
SSDEU026,Solaris,Staging,Germany,26
LSIRL035,Linux,Staging,Ireland,35
SPDEU034,Solaris,Production,Germany,34
SSNOR010,Solaris,Staging,Norway,10
SSIRL031,Solaris,Staging,Ireland,31
LTESP021,Linux,Testing,Spain,21
LPIRL054,Linux,Production,Ireland,54
APIRL026,AIX,Production,Ireland,26
STIRL032,Solaris,Testing,Ireland,32
SPDEU035,Solaris,Production,Germany,35
SSIRL032,Solaris,Staging,Ireland,32
SPIRL047,Solaris,Production,Ireland,47
LSIRL036,Linux,Staging,Ireland,36
LTFRA019,Linux,Testing,France,19
SSNOR011,Solaris,Staging,Norway,11
SPESP028,Solaris,Production,Spain,28
LSITA019,Linux,Staging,Italy,19
LPESP034,Linux,Production,Spain,34
SSESP014,Solaris,Staging,Spain,14
APESP015,AIX,Production,Spain,15
LSITA020,Linux,Staging,Italy,20
